Location,City,State,Country,Customer Location Numbers,Asset Count,Address Line 1,Address Line 3,Address Line 2,Province,Full Address,Zip/Postal Code,Cell Phone,Company,Contact Name,Email,Title,Work Phone,Cisco Region,Cisco Site ID(s),Externally Managed By,Location Code,Location Status,Region.RegionCode
REMOTE USER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC0F133464DD5F,Active,
FOREST PARK - 7326 W HARRISON UNIT 1A,Forest Park,IL,United States,,,,,,,,,,,,,,,,,,LOC10A611EF892A,Active,
ROSEMONT - 9550 HIGGINS ROAD,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC254865BB75FC,Active,
NEW YORK OFFICE -1333 BROADWAY,New York,NY,United States,,,,,,,,,,,,,,,,,,LOC26CB18768730,Active,
Trace3 - 7505 IRVINE CENTER DR,IRVINE,CA,United States,,,,,,,,,,,,,,,,,,LOC26DB1D432C2B,Active,
IT INVENTORY CLOSET,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC3A9A40D08E3F,Active,
NEW YORK OFFICE -1333 BROADWAY,New York,NY,United States,,,,,,,,,,,,,,,,,,LOC42EDBB0DA2A4,Active,
ROSEMONT - 6111 RIVER ROAD,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC4E9878A4C66D,Active,
IT INVENTORY CLOSET,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC5401D503A084,Active,
Chicago Office,Chicago,IL,US,,, ,,,,"  Chicago, IL  Cook County, US",,,,,,,,,,,LOC599BA6DA1C31,Active,
ROSEMONT - SPARE CLOSET,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC5F09690C7564,Active,
ROSEMONT - SPARE CLOSET,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC6005DD579C4D,Active,
ENGINEERING LAB,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC61EFD77DE7E5,Active,
ROSEMONT - 6111 RIVER ROAD,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC6A3E73AC004E,Active,
CALIFORNIA OFFICE,Costa Mesa,CA,United States,,,,,,,,,,,,,,,,,,LOC6D04B17252B0,Active,
ENGINEERING LAB,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC6FC3BB8C181B,Active,
ROSEMONT - SPARE CLOSET,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC700EA3AA98AD,Active,
CALIFORNIA OFFICE,Costa Mesa,CA,United States,,,,,,,,,,,,,,,,,,LOC803EB428F81F,Active,
ROSEMONT - 9550 HIGGINS ROAD,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC87DCB2CA225B,Active,
ROSEMONT - SPARE CLOSET,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC87E5164C747A,Active,
ROSEMONT - DATA CENTER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC9170E03AC8DC,Active,
Trace3 - 7505 IRVINE CENTER DR,IRVINE,CA,United States,,,,,,,,,,,,,,,,,,LOC9AC97558D4B8,Active,
London Warehouse,London,England,GB,,, ,,,,"  London, England  Greater London, GB",,,,,,,,,,,LOC9C70798EB2BE,Active,
ROSEMONT - DATA CENTER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOC9CB44E445E91,Active,
FOREST PARK - 7326 W HARRISON UNIT 1A,Forest Park,IL,United States,,,,,,,,,,,,,,,,,,LOCA18238BACD2F,Active,
FOREST PARK - 7326 W HARRISON UNIT 1A,Forest Park,IL,United States,,,,,,,,,,,,,,,,,,LOCA5E135E54EC0,Active,
CALIFORNIA OFFICE,Costa Mesa,CA,United States,,,,,,,,,,,,,,,,,,LOCACE586FABBA5,Active,
IT INVENTORY CLOSET,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCB0D33144ACB5,Active,
ENGINEERING LAB,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCB41D4B337433,Active,
REMOTE USER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCBBC7E980C48B,Active,
ROSEMONT - 6111 RIVER ROAD,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCBE11BF929864,Active,
REMOTE USER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCBE62C8535BB7,Active,
ROSEMONT - DATA CENTER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCCA0A7A767652,Active,
REMOTE USER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCCBB626000C82,Active,
ROSEMONT - 9550 HIGGINS ROAD,,,,,, ,,,, ,,,,,,,,US,,,LOCCBB99FB7BBCD,Active,REG953BADD4D8F5
NEW YORK OFFICE -1333 BROADWAY,New York,NY,United States,,,,,,,,,,,,,,,,,,LOCD6A66E9C60F3,Active,
SCHILLER PARK - 5130 PEARL ST.,Schiller Park,IL,United States,,,,,,,,,,,,,,,,,,LOCD8592692CE21,Active,
REMOTE USER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCD9DEE2245176,Active,
SCHILLER PARK - 5130 PEARL ST.,Schiller Park,IL,United States,,,,,,,,,,,,,,,,,,LOCE2839B60273C,Active,
ROSEMONT - DATA CENTER,Rosemont,IL,United States,,,,,,,,,,,,,,,,,,LOCF7A55F2A3C5D,Active,
